hhid,tipo,tcuerda,p16a07a,p16a07b
1396.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,1.0,cuerda
1396.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,1.0,cuerda
1397.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,4.0,cuerda
1397.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,4.0,cuerda
1397.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,1.0,cuerda
1398.0,agricola,cuerda/tarea de 40 varas por lado,2.0,cuerda
1399.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,1.0,cuerda
1400.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,1.0,cuerda
1401.0,agricola,cuerda/tarea de 40 varas por lado,1.0,cuerda
1402.0,agricola,cuerda/tarea de 40 varas por lado,1.0,cuerda
1402.0,agricola,cuerda/tarea de 40 varas por lado,2.0,cuerda
1403.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,1.0,cuerda
1404.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1406.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,3.0,cuerda
1408.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1408.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,0.5,cuerda
1408.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,1.5,cuerda
1408.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,0.5,cuerda
1409.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,0.20000000298023224,cuerda
1414.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,6.0,cuerda
1414.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,6.0,cuerda
1415.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1415.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1416.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1417.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,manzana
1417.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,manzana
1418.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,1.0,cuerda
1418.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,1.0,cuerda
1418.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,1.0,cuerda
1419.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,8.0,cuerda
1420.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,20.0,cuerda
1421.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,1.0,manzana
1421.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1421.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1422.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,1.0,cuerda
1422.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,1.0,cuerda
1423.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1424.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,3.0,cuerda
1424.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1424.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,5.0,cuerda
1424.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1425.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1425.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1427.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,6.0,cuerda
1427.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1427.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,6.0,cuerda
1427.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,0.20000000298023224,cuerda
1429.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1430.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,1.0,cuerda
1430.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,0.30000001192092896,cuerda
1431.0,agricola,cuerda/tarea de 40 varas por lado,1.0,cuerda
1431.0,agricola,cuerda/tarea de 40 varas por lado,1.0,cuerda
1431.0,agricola,cuerda/tarea de 40 varas por lado,1.0,cuerda
1432.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,3.0,cuerda
1433.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,manzana
1434.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,manzana
1434.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,1.0,manzana
1435.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,1.0,cuerda
1436.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1437.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,4.0,cuerda
1437.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,1.0,cuerda
1438.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,3.0,cuerda
1439.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,manzana
