depto,mupio,sector,hhid,upm2,agreg3
guatemala,12.0,24.0,244.0,1121024.0,22954.271484375
guatemala,12.0,24.0,245.0,1121024.0,16480.2890625
guatemala,12.0,24.0,246.0,1121024.0,37446.3046875
guatemala,12.0,24.0,247.0,1121024.0,28409.162109375
guatemala,12.0,24.0,248.0,1121024.0,23387.869140625
guatemala,12.0,24.0,249.0,1121024.0,15254.8642578125
guatemala,12.0,24.0,250.0,1121024.0,25199.71875
guatemala,12.0,34.0,251.0,1121034.0,4751.3349609375
guatemala,12.0,34.0,252.0,1121034.0,8582.7099609375
guatemala,12.0,34.0,253.0,1121034.0,19547.24609375
guatemala,12.0,34.0,254.0,1121034.0,7441.8564453125
guatemala,12.0,34.0,255.0,1121034.0,10141.2001953125
guatemala,12.0,34.0,256.0,1121034.0,13691.046875
guatemala,12.0,34.0,257.0,1121034.0,8682.8212890625
guatemala,12.0,34.0,258.0,1121034.0,16574.328125
guatemala,12.0,34.0,259.0,1121034.0,12201.1865234375
guatemala,12.0,34.0,260.0,1121034.0,22972.8125
guatemala,12.0,46.0,261.0,1121046.0,32014.138671875
guatemala,12.0,46.0,262.0,1121046.0,70140.1796875
guatemala,12.0,46.0,263.0,1121046.0,18543.59765625
guatemala,12.0,46.0,264.0,1121046.0,37354.7109375
guatemala,12.0,46.0,265.0,1121046.0,34506.54296875
guatemala,12.0,46.0,266.0,1121046.0,15601.556640625
guatemala,12.0,46.0,267.0,1121046.0,16951.314453125
guatemala,12.0,46.0,268.0,1121046.0,34661.59375
guatemala,12.0,53.0,269.0,1121053.0,39358.94921875
guatemala,12.0,53.0,270.0,1121053.0,19281.072265625
guatemala,12.0,53.0,271.0,1121053.0,17420.435546875
guatemala,12.0,53.0,272.0,1121053.0,19202.552734375
guatemala,12.0,53.0,273.0,1121053.0,62769.890625
guatemala,12.0,53.0,274.0,1121053.0,21785.6328125
guatemala,12.0,53.0,275.0,1121053.0,45041.9609375
guatemala,12.0,58.0,276.0,1121058.0,3276.81494140625
guatemala,12.0,58.0,277.0,1121058.0,6762.85693359375
guatemala,12.0,58.0,278.0,1121058.0,13279.4375
guatemala,12.0,58.0,279.0,1121058.0,3394.052734375
guatemala,12.0,58.0,280.0,1121058.0,3305.219482421875
guatemala,12.0,58.0,281.0,1121058.0,7610.99462890625
guatemala,12.0,58.0,282.0,1121058.0,3385.5546875
guatemala,12.0,58.0,283.0,1121058.0,2641.7568359375
guatemala,12.0,58.0,284.0,1121058.0,6538.0390625
guatemala,12.0,58.0,285.0,1121058.0,5700.96142578125
guatemala,12.0,58.0,286.0,1121058.0,7803.70458984375
guatemala,12.0,58.0,287.0,1121058.0,6629.37744140625
guatemala,12.0,58.0,288.0,1121058.0,4799.16015625
guatemala,12.0,58.0,289.0,1121058.0,3436.97705078125
guatemala,12.0,58.0,290.0,1121058.0,5737.171875
guatemala,12.0,58.0,291.0,1121058.0,3998.031494140625
guatemala,13.0,15.0,292.0,1131015.0,19585.537109375
guatemala,13.0,15.0,293.0,1131015.0,17577.90234375
guatemala,13.0,15.0,294.0,1131015.0,6583.09619140625
guatemala,13.0,15.0,295.0,1131015.0,21793.142578125
guatemala,13.0,15.0,296.0,1131015.0,31007.15625
guatemala,13.0,15.0,297.0,1131015.0,15150.6884765625
guatemala,13.0,19.0,298.0,1131019.0,6368.26318359375
guatemala,13.0,19.0,299.0,1131019.0,11655.470703125
guatemala,13.0,19.0,300.0,1131019.0,9655.0771484375
guatemala,13.0,19.0,301.0,1131019.0,8368.666015625
guatemala,13.0,19.0,302.0,1131019.0,13022.4375
guatemala,13.0,19.0,303.0,1131019.0,5640.1318359375
