depto,mupio,sector,c02b01,c02b02a,c02b02b
1,27,45,NO,3,Kilometr
1,27,45,NO,3,Kilometr
1,27,45,NO,8,Kilometr
1,27,45,SI,,
1,27,45,SI,,
1,27,45,SI,2,Cuadras
1,28,7,SI,,
1,28,7,SI,,
1,28,7,SI,10,Kilometr
1,28,7,SI,,
1,28,7,NO,16,Kilometr
1,28,7,NO,16,Kilometr
1,28,7,NO,16,Kilometr
1,28,7,SI,,
1,28,7,SI,,
1,28,7,SI,,
1,28,7,SI,,
1,28,7,NO,10,Kilometr
1,28,7,SI,,
1,28,7,NO,NS / NR,NS / NR
1,28,7,NO,NS / NR,NS / NR
1,28,7,NO,NS / NR,NS / NR
1,28,7,NO,NS / NR,NS / NR
1,28,7,NO,NS / NR,NS / NR
1,28,7,SI,1,Cuadras
1,28,7,SI,1,Cuadras
1,28,7,NO,NS / NR,NS / NR
1,28,7,NO,NS / NR,NS / NR
1,28,7,SI,5,Kilometr
1,28,7,SI,1,Cuadras
1,28,7,SI,16,Kilometr
1,29,60,SI,,
1,29,60,SI,,
1,29,60,SI,,
1,29,60,NO,7,Kilometr
1,29,60,NO,21,Kilometr
1,29,60,NO,21,Kilometr
1,29,60,NO,7,Kilometr
1,29,60,SI,,
1,29,60,SI,,
1,29,60,NO,7,Kilometr
1,29,60,SI,,
1,29,60,NO,7,Kilometr
1,29,60,SI,,
1,29,60,NO,7,Kilometr
1,29,60,NO,21,Kilometr
1,29,60,NO,7,Kilometr
1,29,60,NO,7,Kilometr
1,29,60,NO,7,Kilometr
1,29,60,SI,,
1,29,60,NO,7,Kilometr
1,29,60,NO,7,Kilometr
1,29,60,NO,7,Kilometr
1,29,60,SI,,
1,29,60,SI,,
1,29,60,,,
1,29,68,NO,2,Kilometr
1,29,68,NO,2,Kilometr
1,29,68,NO,2,Kilometr
1,29,68,NO,10,Kilometr
1,29,68,NO,15,Kilometr
1,29,68,NO,10,Kilometr
1,29,68,NO,3,Kilometr
1,29,68,NO,10,Kilometr
1,29,68,NO,10,Kilometr
1,29,68,NO,1,Kilometr
1,29,68,NO,1,Kilometr
1,29,68,NO,1,Kilometr
1,29,68,NO,1,Kilometr
1,29,68,NO,5,Kilometr
1,29,68,NO,5,Kilometr
1,29,68,NO,10,Kilometr
1,29,68,NO,10,Kilometr
1,29,68,NO,7,Kilometr
1,29,68,NO,1,Kilometr
1,29,68,NO,10,Kilometr
1,29,68,NO,500,Metros
1,29,68,NO,15,Kilometr
1,29,68,NO,20,Kilometr
1,29,68,NO,20,Kilometr
1,29,68,,20,Kilometr
1,29,72,NO,500,Metros
1,29,72,NO,500,Metros
1,29,72,NO,500,Metros
1,29,72,NO,5,Kilometr
1,29,72,NO,10,Kilometr
1,29,72,NO,4,Kilometr
1,29,72,SI,,
1,29,72,NO,2,Kilometr
1,29,72,NO,2,Kilometr
1,29,72,SI,,
1,29,72,SI,,
1,29,72,NO,2,Kilometr
1,29,72,SI,,
1,29,72,NO,2,Kilometr
1,29,72,NO,3,Kilometr
1,29,72,NO,2,Kilometr
1,29,72,NO,10,Kilometr
1,29,72,NO,1,Kilometr
1,29,72,SI,,
1,29,72,NO,7,Kilometr
1,29,72,NO,1,Kilometr
1,29,72,NO,7,Kilometr
1,29,72,NO,3,Cuadras
1,29,72,NO,1,Cuadras
1,29,72,,10,Kilometr
1,29,82,SI,,
1,29,82,NO,500,Metros
1,29,82,NO,1,Kilometr
1,29,82,NO,5,Kilometr
1,29,82,NO,8,Kilometr
1,29,82,NO,900,Metros
1,29,82,NO,800,Metros
1,29,82,SI,,
1,29,82,SI,,
1,29,82,SI,,
1,29,82,NO,200,Metros
1,29,82,NO,5,Kilometr
1,29,82,NO,100,Metros
1,29,82,NO,600,Metros
1,29,82,NO,8,Kilometr
1,29,82,NO,8,Kilometr
1,29,82,NO,8,Kilometr
1,29,82,NO,8,Kilometr
1,29,82,SI,,
1,29,82,NO,8,Kilometr
1,29,82,NO,8,Kilometr
1,29,82,NO,8,Kilometr
1,29,82,NO,8,Kilometr
1,29,82,NO,8,Kilometr
1,29,82,,10,Kilometr
1,29,122,SI,,
1,29,122,SI,,
1,29,122,SI,,
1,29,122,SI,,
1,29,122,NO,15,Kilometr
1,29,122,NO,7,Kilometr
1,29,122,NO,7,Kilometr
1,29,122,SI,,
1,29,122,SI,,
1,29,122,SI,,
1,29,122,SI,,
1,29,122,NO,7,Kilometr
1,29,122,SI,,
1,29,122,NO,7,Kilometr
1,29,122,NO,20,Kilometr
1,29,122,NO,7,Kilometr
1,29,122,NO,7,Kilometr
1,29,122,NO,7,Kilometr
1,29,122,SI,,
1,29,122,NO,7,Kilometr
1,29,122,NO,7,Kilometr
1,29,122,NO,7,Kilometr
1,29,122,SI,,
1,29,122,,,
1,29,122,,,
1,29,159,SI,,
1,29,159,SI,,
1,29,159,SI,,
1,29,159,SI,,
1,29,159,NO,10,Kilometr
1,29,159,NO,5,Kilometr
1,29,159,NO,5,Kilometr
1,29,159,SI,,
1,29,159,SI,,
1,29,159,SI,,
1,29,159,SI,,
1,29,159,NO,5,Kilometr
1,29,159,SI,,
1,29,159,NO,5,Kilometr
1,29,159,NO,10,Kilometr
1,29,159,NO,5,Kilometr
1,29,159,NO,5,Kilometr
1,29,159,NO,5,Kilometr
1,29,159,SI,,
1,29,159,NO,5,Kilometr
1,29,159,NO,5,Kilometr
1,29,159,NO,5,Kilometr
1,29,159,SI,,
1,29,159,SI,,
1,29,159,,,
1,29,356,SI,2,Cuadras
1,29,356,SI,2,Cuadras
1,29,356,SI,2,Cuadras
1,29,356,SI,2,Cuadras
1,29,356,SI,2,Cuadras
1,29,356,SI,2,Cuadras
1,29,356,SI,2,Cuadras
1,29,356,SI,2,Cuadras
1,29,356,SI,2,Cuadras
1,29,356,SI,2,Cuadras
1,29,356,SI,2,Cuadras
