depto,mupio,sector,hhid,upm2,agreg3,consumption_per_capita_per_day
escuintla,1,84,1883,5012084.0,3026.0205078125,5.702519510407406
escuintla,1,84,1884,5012084.0,4190.58056640625,7.897126730691169
escuintla,1,84,1885,5012084.0,1581.743896484375,2.9807879381129685
escuintla,1,84,1886,5012084.0,3971.986083984375,7.485186594244681
escuintla,1,84,1887,5012084.0,2560.111328125,4.824516145794879
escuintla,1,84,1888,5012084.0,3525.459716796875,6.643710036427566
escuintla,1,84,1889,5012084.0,3959.23291015625,7.4611533061731885
escuintla,1,84,1890,5012084.0,7085.98876953125,13.353508049418513
escuintla,1,84,1891,5012084.0,2806.929443359375,5.289643567771102
escuintla,1,87,1892,5012087.0,4022.09033203125,7.579607782502966
escuintla,1,87,1893,5012087.0,12463.18359375,23.486803021214893
escuintla,1,87,1894,5012087.0,4596.37841796875,8.661850618001964
escuintla,1,87,1895,5012087.0,9379.017578125,17.67470861140173
escuintla,1,87,1896,5012087.0,5495.0537109375,10.355399415323244
escuintla,1,87,1897,5012087.0,13224.9560546875,24.922359161621703
escuintla,1,87,1898,5012087.0,3063.128173828125,5.772448709133409
escuintla,1,88,1899,5012088.0,7499.130859375,14.132072114606421
escuintla,1,88,1900,5012088.0,4728.9208984375,8.91162621564893
escuintla,1,88,1901,5012088.0,9640.1416015625,18.166795441099016
escuintla,1,88,1902,5012088.0,7790.74462890625,14.681616708227674
escuintla,1,88,1903,5012088.0,6005.55810546875,11.317442224500253
escuintla,1,88,1904,5012088.0,8030.6044921875,15.133631341503827
escuintla,1,88,1905,5012088.0,15663.337890625,29.51747672852426
escuintla,1,88,1906,5012088.0,10852.63671875,20.451736023684074
escuintla,1,88,1907,5012088.0,4621.36572265625,8.708939060438189
escuintla,1,88,1908,5012088.0,4312.53759765625,8.126954105733395
escuintla,1,88,1909,5012088.0,6675.67919921875,12.580281852182546
escuintla,1,88,1910,5012088.0,7590.607421875,14.304459208829503
escuintla,1,97,1911,5012097.0,33060.39453125,62.302137196190166
escuintla,1,97,1912,5012097.0,3015.855224609375,5.683363088418533
escuintla,1,97,1913,5012097.0,3989.2822265625,7.5177810826997
escuintla,1,97,1914,5012097.0,10190.982421875,19.20485202956265
escuintla,1,97,1915,5012097.0,7946.50537109375,14.975146996269858
escuintla,1,97,1916,5012097.0,43924.50390625,82.77549337939824
escuintla,1,97,1917,5012097.0,11478.9150390625,21.63195417861949
escuintla,1,97,1918,5012097.0,4294.10546875,8.092218857100788
escuintla,1,107,1919,5012107.0,6461.3515625,12.176382563710206
escuintla,1,107,1920,5012107.0,4810.98291015625,9.066271639128805
escuintla,1,107,1921,5012107.0,5052.6162109375,9.52162830591667
escuintla,1,107,1922,5012107.0,8737.8671875,16.466464119269247
escuintla,1,107,1923,5012107.0,3103.4609375,5.848455587194453
escuintla,1,107,1924,5012107.0,8908.7060546875,16.78840905346828
escuintla,1,107,1925,5012107.0,3934.94873046875,7.415389899049978
escuintla,1,107,1926,5012107.0,5118.47900390625,9.645746388046168
escuintla,1,120,1927,5012120.0,5273.81982421875,9.93848533555419
escuintla,1,120,1928,5012120.0,2099.592529296875,3.956670925167087
escuintla,1,120,1929,5012120.0,1732.393310546875,3.2646859555602714
escuintla,1,120,1930,5012120.0,4021.729248046875,7.578927321659929
escuintla,1,120,1931,5012120.0,5091.16162109375,9.594266925808762
escuintla,1,120,1932,5012120.0,4737.37939453125,8.927566206431802
